Date : 2020-11-24 16:25:26
Directory : /home/min/Projects/monid
Total : 76 files,  5737 codes, 649 comments, 280 blanks, all 6666 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/min/Projects/monid/packages/monid-registry-contract/src/index.ts                                                    | TypeScript   |         65 |         39 |         11 |        115 |
| /home/min/Projects/monid/packages/monid-registry-contract/src/utils.ts                                                    | TypeScript   |         13 |          0 |          2 |         15 |
| /home/min/Projects/monid/packages/monid-registry-contract/tests/data.ts                                                   | TypeScript   |          6 |          0 |          1 |          7 |
| /home/min/Projects/monid/packages/monid-registry-contract/tests/ganache.ts                                                | TypeScript   |         31 |          1 |          8 |         40 |
| /home/min/Projects/monid/packages/monid-registry-contract/tests/index.test.ts                                             | TypeScript   |         78 |          0 |         14 |         92 |
| /home/min/Projects/monid/packages/monid-registry-contract/truffle-config.js                                               | JavaScript   |         46 |          0 |          3 |         49 |
| /home/min/Projects/monid/packages/monid-registry-contract/tsconfig.json                                                   | JSON         |         13 |          0 |          1 |         14 |
| /home/min/Projects/monid/packages/monid-registry-contract/types/ethers-contracts/Migrations.d.ts                          | TypeScript   |         98 |          3 |         50 |        151 |
| /home/min/Projects/monid/packages/monid-registry-contract/types/ethers-contracts/Registry.d.ts                            | TypeScript   |         66 |          3 |         30 |         99 |
| /home/min/Projects/monid/packages/monid-registry-contract/types/ethers-contracts/factories/Migrations__factory.ts         | TypeScript   |         87 |          3 |          7 |         97 |
| /home/min/Projects/monid/packages/monid-registry-contract/types/ethers-contracts/factories/Registry__factory.ts           | TypeScript   |         71 |          3 |          7 |         81 |
| /home/min/Projects/monid/packages/monid-registry-contract/types/ethers-contracts/index.ts                                 | TypeScript   |          4 |          3 |          2 |          9 |
| /home/min/Projects/monid/tsconfig.json                                                                                    | JSON         |         13 |          0 |          1 |         14 |
| Total                                                                                                                     |              |      5,737 |        649 |        280 |      6,666 |
+---------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
